,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,16,eux,them
15,17,ville,city
16,18,chaque,each
17,19,parlé,speak
18,20,arrivé,come
19,21,devrait,should
20,22,bébé,baby
21,23,heures,hours
22,26,revoir,meet again
23,27,aucune,any
24,28,place,square
25,29,parle,speak
26,30,compris,understood
27,31,savais,knew
28,33,attention,Warning
29,34,voici,here is
30,35,pourrais,could
31,36,affaire,case
32,37,donner,give
33,38,type,type
34,40,donné,given
35,41,train,train
36,42,corps,body
37,43,endroit,place
38,44,yeux,eyes
39,45,façon,way
40,46,écoute,listen
41,47,dont,whose
42,48,trouve,find
43,50,perdu,lost
44,51,main,hand
45,52,côté,side
46,54,vieux,old
47,55,sois,be
48,56,tiens,here
49,57,matin,morning
50,58,tellement,so much
51,59,enfant,child
52,60,point,point
53,61,venu,came
54,62,pardon,sorry
55,63,venez,come
56,64,devant,in front of
57,65,vers,towards
58,66,minutes,minutes
59,67,demandé,request
60,68,chambre,bedroom
61,69,mis,placed
62,70,belle,beautiful
63,71,droit,law
64,72,aimerais,would like to
65,73,aujourd'hui,today
66,74,mari,husband
67,76,enfin,finally
68,77,eau,water
69,78,attendez,Wait
70,79,parti,left
71,81,boulot,job
72,82,arrêter,Stop
73,83,dirait,would say
74,84,terre,Earth
75,85,compte,account
76,87,croire,believe
77,88,chérie,sweetheart
78,90,filles,girls
79,91,jouer,to play
80,92,bureau,office
